Record.ID,s,word,accuracy,cognate,diff,subject,L2AoA,Language
BUBA076,spa,latch,1,0,6,subject7,18,0
BUBA076,spa,tripod,0,1,6,subject7,18,0
BUBA076,spa,scroll,0,0,6,subject7,18,0
BUBA076,spa,tongs,0,0,6,subject7,18,0
BUBA076,spa,sphinx,0,1,6,subject7,18,0
BUBA076,spa,yoke,0,0,6,subject7,18,0
BUBA076,spa,trellis,0,0,6,subject7,18,0
BUBA076,spa,protractor,1,0,6,subject7,18,0
BUBA076,spa,abacus,0,1,6,subject7,18,0
BUBA078,spa,comb,1,0,1,subject8,12,0
BUBA078,spa,flower,1,1,1,subject8,12,0
BUBA078,spa,helicopter,0,1,2,subject8,12,0
BUBA078,spa,broom,1,0,2,subject8,12,0
BUBA078,spa,octopus,1,0,2,subject8,12,0
BUBA078,spa,mushroom,1,0,2,subject8,12,0
BUBA078,spa,hanger,0,0,2,subject8,12,0
BUBA078,spa,wheelchair,0,0,2,subject8,12,0
BUBA078,spa,camel,0,1,2,subject8,12,0
BUBA078,spa,mask,0,1,2,subject8,12,0
BUBA078,spa,racquet,0,1,3,subject8,12,0
BUBA078,spa,snail,0,0,3,subject8,12,0
BUBA078,spa,volcano,1,1,3,subject8,12,0
BUBA078,spa,seahorse,0,0,3,subject8,12,0
BUBA078,spa,dart,1,1,3,subject8,12,0
BUBA078,spa,canoe,0,1,3,subject8,12,0
BUBA078,spa,wreath,0,0,3,subject8,12,0
BUBA078,spa,beaver,0,0,3,subject8,12,0
BUBA078,spa,harmonica,0,1,3,subject8,12,0
BUBA078,spa,rhinoceros,0,1,4,subject8,12,0
BUBA078,spa,acorn,0,0,4,subject8,12,0
BUBA078,spa,igloo,0,1,4,subject8,12,0
BUBA078,spa,stilts,0,0,4,subject8,12,0
BUBA078,spa,dominos,0,1,4,subject8,12,0
BUBA078,spa,harp,0,1,4,subject8,12,0
BUBA078,spa,hammock,0,1,4,subject8,12,0
BUBA078,spa,knocker,0,0,4,subject8,12,0
BUBA078,spa,pyramid,0,1,5,subject8,12,0
BUBA078,spa,muzzle,0,0,5,subject8,12,0
BUBA078,spa,unicorn,0,1,5,subject8,12,0
BUBA078,spa,funnel,0,0,5,subject8,12,0
BUBA078,spa,accordion,0,1,5,subject8,12,0
BUBA078,spa,noose,0,0,5,subject8,12,0
BUBA078,spa,asparagus,0,1,5,subject8,12,0
BUBA078,spa,compass,0,1,5,subject8,12,0
BUBA078,spa,latch,0,0,6,subject8,12,0
BUBA078,spa,tripod,0,1,6,subject8,12,0
BUBA078,spa,scroll,0,0,6,subject8,12,0
BUBA078,spa,tongs,0,0,6,subject8,12,0
BUBA078,spa,sphinx,1,1,6,subject8,12,0
BUBA078,spa,yoke,0,0,6,subject8,12,0
BUBA078,spa,trellis,0,0,6,subject8,12,0
BUBA078,spa,protractor,0,0,6,subject8,12,0
BUBA078,spa,abacus,0,1,6,subject8,12,0
BUBA079,spa,comb,1,0,1,subject9,18,0
BUBA079,spa,flower,0,1,1,subject9,18,0
BUBA079,spa,helicopter,1,1,2,subject9,18,0
BUBA079,spa,broom,1,0,2,subject9,18,0
BUBA079,spa,octopus,1,0,2,subject9,18,0
BUBA079,spa,mushroom,1,0,2,subject9,18,0
BUBA079,spa,hanger,1,0,2,subject9,18,0
BUBA079,spa,wheelchair,1,0,2,subject9,18,0
BUBA079,spa,camel,1,1,2,subject9,18,0
BUBA079,spa,mask,0,1,2,subject9,18,0
BUBA079,spa,racquet,1,1,3,subject9,18,0
BUBA079,spa,snail,1,0,3,subject9,18,0
BUBA079,spa,volcano,0,1,3,subject9,18,0
BUBA079,spa,seahorse,1,0,3,subject9,18,0
BUBA079,spa,dart,1,1,3,subject9,18,0
BUBA079,spa,canoe,0,1,3,subject9,18,0
BUBA079,spa,wreath,0,0,3,subject9,18,0
BUBA079,spa,beaver,0,0,3,subject9,18,0
BUBA079,spa,harmonica,1,1,3,subject9,18,0
BUBA079,spa,rhinoceros,0,1,4,subject9,18,0
BUBA079,spa,acorn,0,0,4,subject9,18,0
BUBA079,spa,igloo,0,1,4,subject9,18,0
BUBA079,spa,stilts,0,0,4,subject9,18,0
BUBA079,spa,dominos,1,1,4,subject9,18,0
BUBA079,spa,harp,1,1,4,subject9,18,0
BUBA079,spa,hammock,1,1,4,subject9,18,0
BUBA079,spa,knocker,0,0,4,subject9,18,0
BUBA079,spa,pyramid,0,1,5,subject9,18,0
BUBA079,spa,muzzle,0,0,5,subject9,18,0
BUBA079,spa,unicorn,0,1,5,subject9,18,0
BUBA079,spa,funnel,1,0,5,subject9,18,0
BUBA079,spa,accordion,1,1,5,subject9,18,0
BUBA079,spa,noose,1,0,5,subject9,18,0
BUBA079,spa,asparagus,1,1,5,subject9,18,0
BUBA079,spa,compass,0,1,5,subject9,18,0
BUBA079,spa,latch,1,0,6,subject9,18,0
BUBA079,spa,tripod,0,1,6,subject9,18,0
BUBA079,spa,scroll,0,0,6,subject9,18,0
BUBA079,spa,tongs,0,0,6,subject9,18,0
BUBA079,spa,sphinx,0,1,6,subject9,18,0
BUBA079,spa,yoke,0,0,6,subject9,18,0
BUBA079,spa,trellis,0,0,6,subject9,18,0
BUBA079,spa,protractor,0,0,6,subject9,18,0
BUBA079,spa,abacus,0,1,6,subject9,18,0
