Record.ID,e,word,accuracy,cognate,diff
BUBA089,eng,racquet,0,1,3
BUBA089,eng,snail,0,0,3
BUBA089,eng,volcano,0,1,3
BUBA089,eng,seahorse,0,0,3
BUBA089,eng,dart,1,1,3
BUBA089,eng,canoe,1,1,3
BUBA089,eng,wreath,1,0,3
BUBA089,eng,beaver,1,0,3
BUBA089,eng,harmonica,0,1,3
BUBA089,eng,rhinoceros,0,1,4
BUBA089,eng,acorn,0,0,4
BUBA089,eng,igloo,0,1,4
BUBA089,eng,stilts,1,0,4
BUBA089,eng,dominos,1,1,4
BUBA089,eng,harp,1,1,4
BUBA089,eng,hammock,0,1,4
BUBA089,eng,knocker,1,0,4
BUBA089,eng,pyramid,0,1,5
BUBA089,eng,muzzle,1,0,5
BUBA089,eng,unicorn,0,1,5
BUBA089,eng,funnel,1,0,5
BUBA089,eng,accordion,0,1,5
BUBA089,eng,noose,0,0,5
BUBA089,eng,asparagus,0,1,5
BUBA089,eng,compass,0,1,5
BUBA089,eng,latch,0,0,6
BUBA089,eng,tripod,0,1,6
BUBA089,eng,scroll,1,0,6
BUBA089,eng,tongs,0,0,6
BUBA089,eng,sphinx,0,1,6
BUBA089,eng,yoke,1,0,6
BUBA089,eng,trellis,0,0,6
BUBA089,eng,protractor,0,0,6
BUBA089,eng,abacus,0,1,6
BUBA090,eng,comb,1,0,1
BUBA090,eng,flower,1,1,1
BUBA090,eng,helicopter,1,1,2
BUBA090,eng,broom,1,0,2
BUBA090,eng,octopus,1,0,2
BUBA090,eng,mushroom,1,0,2
BUBA090,eng,hanger,1,0,2
BUBA090,eng,wheelchair,1,0,2
BUBA090,eng,camel,1,1,2
BUBA090,eng,mask,1,1,2
BUBA090,eng,racquet,1,1,3
BUBA090,eng,snail,1,0,3
BUBA090,eng,volcano,1,1,3
BUBA090,eng,seahorse,1,0,3
BUBA090,eng,dart,1,1,3
BUBA090,eng,canoe,1,1,3
BUBA090,eng,wreath,1,0,3
BUBA090,eng,beaver,1,0,3
BUBA090,eng,harmonica,1,1,3
BUBA090,eng,rhinoceros,1,1,4
BUBA090,eng,acorn,1,0,4
BUBA090,eng,igloo,1,1,4
BUBA090,eng,stilts,1,0,4
BUBA090,eng,dominos,1,1,4
BUBA090,eng,harp,1,1,4
BUBA090,eng,hammock,1,1,4
BUBA090,eng,knocker,1,0,4
BUBA090,eng,pyramid,1,1,5
BUBA090,eng,muzzle,1,0,5
BUBA090,eng,unicorn,1,1,5
BUBA090,eng,funnel,1,0,5
BUBA090,eng,accordion,1,1,5
BUBA090,eng,noose,1,0,5
